submission_day,feed_type,submission_count,normalized_submission_count
2022-10-07,PRODUCT_LIST_IMAGE,9,9
2022-10-07,PRODUCT_LIST_INVENTORY,9,9
2022-10-07,PRODUCT_LIST_PRICE,9,9
2022-10-08,PRODUCT_FLAT_FILE_INVLOADER,3,3
2022-10-08,PRODUCT_LIST,3,3
2022-10-08,PRODUCT_LIST_IMAGE,3,3
2022-10-08,PRODUCT_LIST_INVENTORY,3,3
2022-10-08,PRODUCT_LIST_PRICE,3,3
2022-10-09,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-10-09,PRODUCT_LIST,9,9
2022-10-09,PRODUCT_LIST_IMAGE,9,9
2022-10-09,PRODUCT_LIST_INVENTORY,9,9
2022-10-09,PRODUCT_LIST_PRICE,9,9
2022-10-10,PRODUCT_FLAT_FILE_INVLOADER,20,20
2022-10-10,PRODUCT_LIST,20,20
2022-10-10,PRODUCT_LIST_IMAGE,20,20
2022-10-10,PRODUCT_LIST_INVENTORY,20,20
2022-10-10,PRODUCT_LIST_PRICE,20,20
2022-10-10,PRODUCT_LIST_REMOVE,2,2
2022-10-11,PRODUCT_FLAT_FILE_INVLOADER,16,16
2022-10-11,PRODUCT_LIST,16,16
2022-10-11,PRODUCT_LIST_IMAGE,16,16
2022-10-11,PRODUCT_LIST_INVENTORY,16,16
2022-10-11,PRODUCT_LIST_PRICE,16,16
2022-10-11,PRODUCT_LIST_REMOVE,2,2
2022-10-12,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-10-12,PRODUCT_LIST,9,9
2022-10-12,PRODUCT_LIST_IMAGE,9,9
2022-10-12,PRODUCT_LIST_INVENTORY,9,9
2022-10-12,PRODUCT_LIST_PRICE,9,9
2022-10-12,PRODUCT_LIST_REMOVE,20,20
2022-10-13,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-10-13,PRODUCT_LIST,9,9
2022-10-13,PRODUCT_LIST_IMAGE,9,9
2022-10-13,PRODUCT_LIST_INVENTORY,9,9
2022-10-13,PRODUCT_LIST_PRICE,9,9
2022-10-13,PRODUCT_LIST_REMOVE,1,1
2022-10-14,PRODUCT_FLAT_FILE_INVLOADER,11,11
2022-10-14,PRODUCT_LIST,11,11
2022-10-14,PRODUCT_LIST_IMAGE,11,11
2022-10-14,PRODUCT_LIST_INVENTORY,11,11
